"","test.ID_CPTE","predict.xgb.fit..newdata...test_Cat..type....prob...Yes","predict.mann.tune..newdata...test_Cat..type....prob...Yes","predict.glm.fit..newdata...test..type....response..","Stack"
"1",10074849,0.0160070061683655,0.0544495977695417,0.0198788770728414,0.0777956113585928
"2",10086539,0.0587790608406067,0.0544451167077803,0.0813481848411011,0.0928688316518803
"3",10140908,0.818009451031685,0.444106963277564,0.864001885652819,0.717552359090327
"4",10147994,0.490280985832214,0.411284926499446,0.299963702722,0.336860322116426
"5",10152808,0.219558954238892,0.286653669545469,0.191063027234328,0.166712890189991
"6",10153124,0.25932502746582,0.0816785205536948,0.137857977953631,0.161961890162136
"7",10155947,0.284968972206116,0.381022197282646,0.318859961882505,0.225300103239868
"8",10184787,0.197905659675598,0.324632701407019,0.328817691993136,0.18450158264804
"9",10208611,0.0185821652412415,0.0547089860747151,0.0229780965726868,0.0785900277937293
"10",10211370,0.825314745306969,0.444089509015375,0.743421949604275,0.691124331243095
"11",10234434,0.530315309762955,0.36147326759642,0.341141996238829,0.369235691700028
"12",10250516,0.161413431167603,0.149458432357282,0.123735640722282,0.129442879319701
"13",10283617,0.0175715088844299,0.162811614880173,0.013422677960366,0.080615415179811
"14",10352558,0.0142681002616882,0.0544434941600934,0.00417811961829546,0.0760918233023067
"15",10360546,0.0634225010871887,0.0585491154789005,0.0331203850051765,0.0891944486674322
"16",10400778,0.225631177425385,0.444100824745944,0.207683313379672,0.180842420089167
"17",10422353,0.687900364398956,0.499500935194343,0.536467573733216,0.54821770121289
"18",10445885,0.00796878337860107,0.0544434941600934,0.0130651467747265,0.0756285508738413
"19",10456836,0.480659782886505,0.444077484513864,0.537522844528913,0.401028652402874
"20",10457314,0.0155431628227234,0.0545035352505631,0.00861464353333342,0.0767250810135266
"21",10458286,0.0101563930511475,0.0544440255546373,0.00981005936084721,0.0757747192765492
"22",10461050,0.156620860099792,0.176781435154269,0.232191700993772,0.144782593227164
"23",10482423,0.470287382602692,0.408747965168315,0.501377610806627,0.38040764960085
"24",10491253,0.010012686252594,0.0544434941600934,0.0198005521200462,0.076605149461155
"25",10496971,0.00720316171646118,0.0544436023902634,0.00493160503612807,0.0747903258066225
"26",10501380,0.0143854022026062,0.0544434941600934,0.00821037507500255,0.0764615826212409
"27",10511181,0.0233057737350464,0.0626450763843558,0.0394282936093215,0.0812566451229111
"28",10521098,0.411892890930176,0.233581168293793,0.383693948664711,0.297012073550439
"29",10552161,0.163425147533417,0.380078131553426,0.248440881778352,0.159999629953127
"30",10566728,0.812880367040634,0.44410132234768,0.868311878098539,0.715733879839233
"31",10567310,0.667545020580292,0.444100200905886,0.589457387510494,0.544921062306322
"32",10568979,0.0105162262916565,0.06265050684533,0.00798168779017178,0.0759122366840829
"33",10570323,0.0472692847251892,0.279264031312879,0.0763311255631159,0.0971287812959676
"34",10574791,0.32941073179245,0.31524966320152,0.228208451907035,0.223016967919207
"35",10605841,0.176463484764099,0.163151307389311,0.118575510896266,0.134103990808061
"36",10613297,0.56940758228302,0.499196295678009,0.274041405882603,0.388071686914687
"37",10621039,0.010608434677124,0.0544435041131497,0.0338974648943011,0.077950045492029
"38",10628526,0.684817939996719,0.352423003207923,0.631195514420279,0.560522580935283
"39",10638145,0.549013137817383,0.410383153856202,0.537173913679889,0.44391278815242
"40",10653165,0.285188019275665,0.198811962156931,0.207449211238614,0.19132340979324
"41",10653245,0.842217043042183,0.44410132234768,0.849189649671181,0.727377247423524
"42",10655966,0.0228719711303711,0.0544435030535506,0.0723637534182222,0.0839705846232569
"43",10659296,0.00729596614837646,0.0544434941600934,0.00484858354979525,0.0748011073949529
"44",10680173,0.00733572244644165,0.0544459926378012,0.00800593968580002,0.0750760301712111
"45",10710620,0.350991129875183,0.179806883869077,0.14493347402319,0.207051240169949
"46",10730817,0.158262968063354,0.353070593068606,0.220420720058644,0.152223514734784
"47",10747934,0.272265911102295,0.342457822152876,0.363475002788669,0.226041020511633
"48",10770155,0.291938006877899,0.27790832543248,0.162052175007616,0.190411678382644
"49",10779648,0.0371681451797485,0.0587286712659856,0.0533697121214098,0.0853734293751053
"50",10809898,0.0133571624755859,0.0544435030411262,0.00804139717004917,0.076246063209454
"51",10813722,0.562346637248993,0.444096288702709,0.465164365932951,0.434595790414791
"52",10860622,0.832850828766823,0.44410132234768,0.840849936917054,0.72015225242873
"53",10888272,0.0111709237098694,0.0544481002989776,0.00976349059533288,0.0759679854983427
"54",10901261,0.320906698703766,0.254829703292714,0.353694776021289,0.241939592534812
"55",10949115,0.015620231628418,0.0544434941600934,0.0120424325543662,0.0770355765300441
"56",10970954,0.322618424892426,0.122867866376959,0.183849615980854,0.198436509178455
"57",10994148,0.00983345508575439,0.0544444542069285,0.0113341531924079,0.0758423899370877
"58",11003622,0.315765261650085,0.410426872936595,0.572389209592527,0.30391689744803
"59",11019865,0.0295403003692627,0.0544435346135099,0.0599800076618324,0.0842295458599523
"60",11046088,0.882510952651501,0.44410132234768,0.949317677528896,0.771230043282152
"61",11060123,0.471324563026428,0.44409742035439,0.607208084468986,0.415331237959141
"62",11080494,0.0135656595230103,0.0544767367203887,0.0178552518750887,0.077136280389612
"63",11088572,0.0109666585922241,0.0544435147858354,0.0218720987332678,0.0769718684111275
"64",11119995,0.0201207399368286,0.0544855345743625,0.0186508120667164,0.0785099745739086
"65",11123945,0.00975286960601807,0.0544434941600934,0.0159108703622425,0.0762191977917712
"66",11138026,0.813683331012726,0.444166970964109,0.8046470927763,0.700131221207272
"67",11161135,0.538445502519608,0.38265488666022,0.519559740742215,0.428765272483115
"68",11163410,0.380301535129547,0.438864755629703,0.504609541121185,0.327056413507091
"69",11177142,0.215687155723572,0.272534227157161,0.275507576394173,0.179131754433984
"70",11195216,0.0219716429710388,0.0544480587156154,0.0183055060727707,0.0788502007657936
"71",11213741,0.0911791920661926,0.310914461628722,0.181451054951518,0.122691768424788
"72",11230608,0.0207233428955078,0.0545450300370908,0.0318944292951822,0.0798119767344428
"73",11237341,0.722486585378647,0.443896583330189,0.676648175218134,0.607974122387395
"74",11256074,0.192318439483643,0.378609098000027,0.224965444155458,0.166951589471512
"75",11260697,0.0516822934150696,0.236611236282662,0.0916842392845797,0.0983952494864755
"76",11295517,0.0124966502189636,0.0626610013360403,0.00829892751052295,0.0763257445603304
"77",11318694,0.680168956518173,0.444097459391652,0.479393824324393,0.520184812370461
"78",11389745,0.00763159990310669,0.0544451217451035,0.00943262349079892,0.0752540893275607
"79",11402628,0.10322242975235,0.101019307328248,0.0896989689605295,0.106444072309262
"80",11404723,0.0262846946716309,0.277531748389707,0.0448481776286372,0.0889267469014784
"81",11405414,0.0979452133178711,0.246988663954934,0.0827746743471303,0.109700455608031
"82",11437470,0.0143606662750244,0.0544720778772658,0.0155808848325611,0.0770953441126264
"83",11478454,0.05455482006073,0.163889179401047,0.0326293449702039,0.0904913726298326
"84",11483578,0.743064612150192,0.444101186330257,0.743410748428642,0.64047403353769
"85",11487644,0.246464729309082,0.393309379090126,0.362408035693164,0.216903871337625
"86",11500471,0.0772772431373596,0.366053032454168,0.00490374013507552,0.0997710712813882
"87",11502063,0.141766488552094,0.247020772826058,0.21238304686195,0.140141969559928
"88",11503093,0.0537511110305786,0.0548961547127534,0.0332824228479528,0.0869434965951707
"89",11515639,0.0172739028930664,0.0544438997131094,0.0185343118711059,0.0779296877594717
"90",11529742,0.533260941505432,0.44410132234768,0.749096496337783,0.500727445095112
"91",11563105,0.0833435654640198,0.117331392871658,0.104102143221709,0.103517032978351
"92",11563234,0.367369771003723,0.383386336020057,0.339259685695641,0.272723335347196
